total_local_bytes,total_other_bytes,total_bytes,total_packets,target
90,74,164,2,0
90,74,164,2,0
90,90,180,2,0
90,90,180,2,0
90,90,180,2,0
90,90,180,2,0
90,90,180,2,0
91,75,166,2,0
91,75,166,2,0
91,75,166,2,0
91,75,166,2,0
91,75,166,2,0
91,75,166,2,0
91,75,166,2,0
91,75,166,2,0
92,76,168,2,0
92,76,168,2,0
95,79,174,2,0
95,79,174,2,0
103,87,190,2,0
103,87,190,2,0
103,87,190,2,0
103,87,190,2,0
103,87,190,2,0
105,89,194,2,0
105,89,194,2,0
105,89,194,2,0
118,75,193,2,0
119,79,198,2,0
119,79,198,2,0
119,79,198,2,0
119,79,198,2,0
126,83,209,2,0
126,83,209,2,0
126,83,209,2,0
129,86,215,2,0
129,86,215,2,0
129,86,215,2,0
136,72,208,2,0
136,72,208,2,0
136,72,208,2,0
136,72,208,2,0
136,72,208,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
140,85,225,2,0
151,88,239,2,0
151,88,239,2,0
151,88,239,2,0
151,88,239,2,0
151,88,239,2,0
152,77,229,2,0
152,77,229,2,0
153,78,231,2,0
153,78,231,2,0
153,78,231,2,1
153,78,231,2,1
153,78,231,2,1
153,78,231,2,1
153,78,231,2,1
153,78,231,2,1
155,100,255,2,1
155,100,255,2,1
155,100,255,2,1
166,92,258,2,1
166,92,258,2,1
197,78,275,2,1
204,81,285,2,1
204,81,285,2,1
272,78,350,2,1
285,87,372,2,1
184,152,336,4,1
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
864,0,864,4,4
1728,0,1728,8,4
1728,0,1728,8,4
1155,490,1645,9,1
1155,490,1645,9,1
1155,490,1645,9,1
1155,490,1645,9,1
1155,490,1645,9,1
1155,490,1645,9,1
1155,490,1645,9,1
1155,490,1645,9,1
1155,490,1645,9,1
1155,490,1645,9,1
1919,2104,4023,9,1
1796,1924,3720,10,1
1796,1928,3724,10,1
1926,2029,3955,10,1
1926,2030,3956,10,1
1926,2032,3958,10,1
1926,2036,3962,10,1
1972,2082,4054,10,1
1973,2121,4094,10,6
1996,2659,4655,10,6
1999,2686,4685,10,6
1999,2687,4686,10,6
2355,2073,4428,10,6
2369,1926,4295,10,6
2369,1926,4295,10,1
2369,1926,4295,10,1
2392,1926,4318,10,1
2392,1926,4318,10,1
2392,1926,4318,10,1
4041,2573,6614,10,1
4109,2574,6683,10,1
528,982,1510,11,1
528,982,1510,11,1
1215,810,2025,11,1
1215,810,2025,11,1
1215,810,2025,11,1
1215,848,2063,11,1
1803,3335,5138,11,1
1926,2107,4033,11,1
561,1689,2250,12,1
2210,2461,4671,12,1
2897,1785,4682,12,1
4657,2643,7300,12,1
2241,3487,5728,13,1
2259,3351,5610,13,1
2356,3425,5781,13,1
2394,3357,5751,13,1
2399,3359,5758,13,2
2458,3327,5785,13,2
2957,2250,5207,13,2
3263,1915,5178,13,2
3486,1926,5412,13,2
2316,3448,5764,14,2
2031,2264,4295,15,2
2362,2708,5070,15,2
2457,2746,5203,15,2
2254,2325,4579,16,2
2332,2746,5078,16,2
2528,2708,5236,16,2
2803,4213,7016,16,2
2429,2708,5137,17,2
2957,3936,6893,17,2
6165,3146,9311,17,0
4147,3263,7410,18,2
4839,3262,8101,18,2
6103,1268,7371,18,2
1304,1758,3062,19,2
1304,1758,3062,19,2
2495,2579,5074,20,2
5044,4428,9472,20,2
890,2068,2958,21,2
936,1882,2818,21,2
936,1910,2846,21,2
936,2134,3070,21,5
8610,1728,10338,21,5
4602,5655,10257,22,5
8610,1788,10398,22,5
8610,1792,10402,22,5
6585,3355,9940,23,5
8502,1737,10239,23,5
8610,1848,10458,23,5
3463,5761,9224,24,5
5132,1805,6937,25,5
5132,1997,7129,25,5
5132,4383,9515,27,5
19043,3285,22328,32,5
5438,7060,12498,34,5
5438,7064,12502,34,5
5438,7084,12522,34,5
5633,7649,13282,37,5
2961,4203,7164,41,5
2947,3372,6319,48,5
6542,32976,39518,90,5
